股票市场,股票代码,股票名称,停复牌状态,停牌价格,复牌价格,币种,停牌開始,复牌開始,停盘原因
HK,01151,依利安達,停牌,17.92,,HKD,2020-07-23 08:52:10,,停牌重要公告
HK,01235,專業旅運,停牌,0.17,,HKD,2020-07-23 08:52:10,,停牌重要公告
HK,01492,中地乳業,復牌,,0.63,HKD,,2020-07-23 08:50:31,復牌重要公告
HK,01492,中地乳業,停牌,0.63,,HKD,2020-07-22 13:10:01,,停牌重要公告
HK,01241,雙樺控股,復牌,,0.07,HKD,,2020-07-21 12:37:36,復牌重要公告
HK,00699,神州租車,復牌,,2.93,HKD,,2020-07-21 08:49:11,復牌重要公告
HK,01241,雙樺控股,停牌,0.07,,HKD,2020-07-21 08:48:27,,停牌重要公告
HK,00699,神州租車,停牌,2.93,,HKD,2020-07-20 12:41:15,,停牌重要公告
HK,00639,首鋼資源,復牌,,1.83,HKD,,2020-07-20 08:50:44,復牌重要公告
HK,00985,中譽集團,復牌,,0.025,HKD,,2020-07-20 08:49:01,復牌重要公告
